,model,category,language,frame_type,instance,prompt,total_logprob,avg_logprob
1579,meta-llama/Llama-3.1-8B-Instruct,fastener,en,generic,thumbtack,One example of a fastener is ___.,-16.390625,-5.463541666666667
1580,meta-llama/Llama-3.1-8B-Instruct,fastener,en,generic,velcro,One example of a fastener is ___.,-12.4814453125,-6.24072265625
1581,meta-llama/Llama-3.1-8B-Instruct,fastener,en,generic,zipper,One example of a fastener is ___.,-11.375,-11.375
1582,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,button,Name an example of a fastener: ___,-8.0625,-8.0625
1583,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,barrette,Name an example of a fastener: ___,-16.109375,-8.0546875
1584,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,belt buckle,Name an example of a fastener: ___,-10.921875,-5.4609375
1585,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,bolt,Name an example of a fastener: ___,-6.03125,-6.03125
1586,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,bow,Name an example of a fastener: ___,-11.5,-11.5
1587,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,buckle,Name an example of a fastener: ___,-10.0625,-10.0625
1588,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,chain,Name an example of a fastener: ___,-9.875,-9.875
1589,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,clasp,Name an example of a fastener: ___,-11.8203125,-5.91015625
1590,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,clothespin,Name an example of a fastener: ___,-13.41015625,-6.705078125
1591,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,combination lock,Name an example of a fastener: ___,-13.96875,-6.984375
1592,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,cufflink,Name an example of a fastener: ___,-16.296875,-8.1484375
1593,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,gasket,Name an example of a fastener: ___,-13.875,-6.9375
1594,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,hairpin,Name an example of a fastener: ___,-13.78125,-6.890625
1595,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,hook,Name an example of a fastener: ___,-9.0,-9.0
1596,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,knot,Name an example of a fastener: ___,-11.375,-11.375
1597,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,latch,Name an example of a fastener: ___,-10.4375,-10.4375
1598,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,lock,Name an example of a fastener: ___,-9.1875,-9.1875
1599,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,nail,Name an example of a fastener: ___,-5.28125,-5.28125
1600,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,padlock,Name an example of a fastener: ___,-16.296875,-8.1484375
1601,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,paperclip,Name an example of a fastener: ___,-12.265625,-6.1328125
1602,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,peg,Name an example of a fastener: ___,-10.75,-10.75
1603,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,pin,Name an example of a fastener: ___,-8.375,-8.375
1604,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,rubber band,Name an example of a fastener: ___,-10.94921875,-5.474609375
1605,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,safety pin,Name an example of a fastener: ___,-12.794921875,-6.3974609375
1606,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,screw,Name an example of a fastener: ___,-4.59375,-4.59375
1607,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,staple,Name an example of a fastener: ___,-10.375,-10.375
1608,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,strap,Name an example of a fastener: ___,-10.8125,-10.8125
1609,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,tack,Name an example of a fastener: ___,-13.0625,-13.0625
1610,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,tape,Name an example of a fastener: ___,-9.5625,-9.5625
1611,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,thumbtack,Name an example of a fastener: ___,-12.00927734375,-4.003092447916667
1612,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,velcro,Name an example of a fastener: ___,-13.1529541015625,-6.57647705078125
1613,meta-llama/Llama-3.1-8B-Instruct,fastener,en,indefinite_prod,zipper,Name an example of a fastener: ___,-9.375,-9.375
1614,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chicken,One example of a food is ___.,-10.8125,-10.8125
1615,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,apple,One example of a food is ___.,-10.4375,-10.4375
1616,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,avocado,One example of a food is ___.,-14.0,-14.0
1617,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,banana,One example of a food is ___.,-12.5625,-12.5625
1618,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bean,One example of a food is ___.,-12.5625,-12.5625
1619,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,blueberry,One example of a food is ___.,-14.015625,-7.0078125
1620,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,carrot,One example of a food is ___.,-13.1875,-13.1875
1621,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cauliflower,One example of a food is ___.,-14.625,-14.625
1622,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,celery,One example of a food is ___.,-12.4375,-12.4375
1623,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cherry,One example of a food is ___.,-14.6875,-14.6875
1624,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cranberry,One example of a food is ___.,-13.296875,-6.6484375
1625,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cucumber,One example of a food is ___.,-14.0625,-14.0625
1626,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fig,One example of a food is ___.,-13.25,-13.25
1627,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,ginger,One example of a food is ___.,-12.625,-12.625
1628,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,goose,One example of a food is ___.,-14.8125,-14.8125
1629,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,grape,One example of a food is ___.,-12.5625,-12.5625
1630,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lemon,One example of a food is ___.,-10.875,-10.875
1631,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mango,One example of a food is ___.,-12.3125,-12.3125
1632,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,melon,One example of a food is ___.,-15.375,-7.6875
1633,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,olive,One example of a food is ___.,-13.5,-13.5
1634,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,onion,One example of a food is ___.,-12.875,-12.875
1635,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,papaya,One example of a food is ___.,-15.875,-7.9375
1636,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pea,One example of a food is ___.,-14.25,-14.25
1637,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,peach,One example of a food is ___.,-13.625,-13.625
1638,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pear,One example of a food is ___.,-13.9375,-13.9375
1639,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pineapple,One example of a food is ___.,-11.625,-11.625
1640,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pomegranate,One example of a food is ___.,-15.044189453125,-3.76104736328125
1641,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,potato,One example of a food is ___.,-11.875,-11.875
1642,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pumpkin,One example of a food is ___.,-13.25,-13.25
1643,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,radish,One example of a food is ___.,-14.283203125,-7.1416015625
1644,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,raspberry,One example of a food is ___.,-15.125,-15.125
1645,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,strawberry,One example of a food is ___.,-12.5,-12.5
1646,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,tomato,One example of a food is ___.,-10.625,-10.625
1647,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,turkey,One example of a food is ___.,-12.75,-12.75
1648,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,almond,One example of a food is ___.,-11.9375,-11.9375
1649,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,appetizer,One example of a food is ___.,-12.4921875,-6.24609375
1650,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,applesauce,One example of a food is ___.,-17.0,-8.5
1651,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,artichoke,One example of a food is ___.,-14.6796875,-4.893229166666667
1652,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,arugula,One example of a food is ___.,-12.47564697265625,-4.158548990885417
1653,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,asparagus,One example of a food is ___.,-11.375,-5.6875
1654,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bacon,One example of a food is ___.,-11.75,-11.75
1655,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bagel,One example of a food is ___.,-13.50390625,-6.751953125
1656,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,baklava,One example of a food is ___.,-14.927734375,-7.4638671875
1657,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,banana split,One example of a food is ___.,-20.75,-10.375
1658,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,basil,One example of a food is ___.,-13.25,-13.25
1659,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,batter,One example of a food is ___.,-15.125,-15.125
1660,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,beet,One example of a food is ___.,-12.5,-12.5
1661,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bell pepper,One example of a food is ___.,-16.3671875,-8.18359375
1662,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,berry,One example of a food is ___.,-14.1875,-14.1875
1663,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,birthday cake,One example of a food is ___.,-15.82421875,-7.912109375
1664,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,biscuit,One example of a food is ___.,-14.1005859375,-7.05029296875
1665,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,blackberry,One example of a food is ___.,-15.453125,-7.7265625
1666,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bok choy,One example of a food is ___.,-17.146613121032715,-4.286653280258179
1667,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bologna,One example of a food is ___.,-17.59375,-8.796875
1668,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bread,One example of a food is ___.,-10.25,-10.25
1669,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,breadstick,One example of a food is ___.,-20.0,-10.0
1670,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,breakfast,One example of a food is ___.,-12.1875,-12.1875
1671,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,broccoli,One example of a food is ___.,-12.0,-12.0
1672,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,brownie,One example of a food is ___.,-15.515625,-7.7578125
1673,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,brussels sprouts,One example of a food is ___.,-15.049530029296875,-3.7623825073242188
1674,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,buffet,One example of a food is ___.,-14.8125,-14.8125
1675,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,bun,One example of a food is ___.,-14.6875,-14.6875
1676,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,burrito,One example of a food is ___.,-14.158203125,-7.0791015625
1677,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,butter,One example of a food is ___.,-10.5,-10.5
1678,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cabbage,One example of a food is ___.,-12.75,-12.75
1679,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cake,One example of a food is ___.,-10.625,-10.625
1680,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cake mix,One example of a food is ___.,-18.5625,-9.28125
1681,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,calamari,One example of a food is ___.,-16.88671875,-8.443359375
1682,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,calzone,One example of a food is ___.,-15.015625,-7.5078125
1683,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,candy,One example of a food is ___.,-12.1875,-12.1875
1684,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,candy bar,One example of a food is ___.,-15.1875,-7.59375
1685,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,candy cane,One example of a food is ___.,-17.6875,-8.84375
1686,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cantaloupe,One example of a food is ___.,-13.9447021484375,-3.486175537109375
1687,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,caramel,One example of a food is ___.,-13.25,-13.25
1688,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cashew,One example of a food is ___.,-13.421875,-6.7109375
1689,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,casserole,One example of a food is ___.,-17.347381591796875,-5.782460530598958
1690,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,catfish,One example of a food is ___.,-14.21875,-7.109375
1691,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,caviar,One example of a food is ___.,-16.16015625,-5.38671875
1692,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cereal,One example of a food is ___.,-11.75,-11.75
1693,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cheese,One example of a food is ___.,-9.9375,-9.9375
1694,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cheeseburger,One example of a food is ___.,-13.96875,-6.984375
1695,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cheesecake,One example of a food is ___.,-13.7685546875,-6.88427734375
1696,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chickpea,One example of a food is ___.,-15.59765625,-5.19921875
1697,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chili,One example of a food is ___.,-13.3125,-13.3125
1698,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chips,One example of a food is ___.,-13.5,-13.5
1699,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chive,One example of a food is ___.,-17.78125,-8.890625
1700,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,chocolate,One example of a food is ___.,-10.9375,-10.9375
1701,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cilantro,One example of a food is ___.,-15.75341796875,-7.876708984375
1702,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cinnamon,One example of a food is ___.,-14.375,-14.375
1703,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,clam,One example of a food is ___.,-13.9375,-13.9375
1704,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,clove,One example of a food is ___.,-16.609375,-8.3046875
1705,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,coconut,One example of a food is ___.,-13.5625,-13.5625
1706,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,coffee bean,One example of a food is ___.,-16.9375,-8.46875
1707,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,coleslaw,One example of a food is ___.,-13.94281005859375,-4.647603352864583
1708,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cookie,One example of a food is ___.,-12.375,-12.375
1709,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cordon bleu,One example of a food is ___.,-21.0576171875,-5.264404296875
1710,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,corn,One example of a food is ___.,-10.9375,-10.9375
1711,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cornbread,One example of a food is ___.,-15.0,-7.5
1712,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cornmeal,One example of a food is ___.,-15.0,-7.5
1713,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cotton candy,One example of a food is ___.,-14.46875,-7.234375
1714,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,crab,One example of a food is ___.,-14.4375,-14.4375
1715,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cracker,One example of a food is ___.,-12.42578125,-6.212890625
1716,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,crayfish,One example of a food is ___.,-16.140625,-8.0703125
1717,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cream cheese,One example of a food is ___.,-13.2109375,-6.60546875
1718,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,creme brulee,One example of a food is ___.,-19.06207275390625,-3.81241455078125
1719,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,crepe,One example of a food is ___.,-16.6953125,-8.34765625
1720,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,croissant,One example of a food is ___.,-14.640625,-7.3203125
1721,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,crouton,One example of a food is ___.,-16.5625,-5.520833333333333
1722,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,crumb,One example of a food is ___.,-16.875,-8.4375
1723,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,cupcake,One example of a food is ___.,-13.96875,-6.984375
1724,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,curry,One example of a food is ___.,-14.1875,-14.1875
1725,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,dessert,One example of a food is ___.,-12.375,-12.375
1726,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,dip,One example of a food is ___.,-14.4375,-14.4375
1727,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,donut,One example of a food is ___.,-15.140625,-7.5703125
1728,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,dough,One example of a food is ___.,-12.625,-12.625
1729,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,dumpling,One example of a food is ___.,-16.09375,-8.046875
1730,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,easter egg,One example of a food is ___.,-17.6640625,-5.888020833333333
1731,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,eclair,One example of a food is ___.,-19.25,-9.625
1732,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,eel,One example of a food is ___.,-17.34375,-8.671875
1733,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,egg,One example of a food is ___.,-11.25,-11.25
1734,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,egg roll,One example of a food is ___.,-17.15625,-8.578125
1735,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,eggplant,One example of a food is ___.,-13.0234375,-6.51171875
1736,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,enchilada,One example of a food is ___.,-16.0107421875,-5.3369140625
1737,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fast food,One example of a food is ___.,-11.5,-5.75
1738,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fish,One example of a food is ___.,-11.0,-11.0
1739,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,flan,One example of a food is ___.,-13.96875,-6.984375
1740,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,flour,One example of a food is ___.,-9.8125,-9.8125
1741,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fondue,One example of a food is ___.,-16.58203125,-8.291015625
1742,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,french fries,One example of a food is ___.,-12.03515625,-6.017578125
1743,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fruit,One example of a food is ___.,-10.1875,-10.1875
1744,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fruitcake,One example of a food is ___.,-15.34375,-7.671875
1745,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,fudge,One example of a food is ___.,-16.5,-8.25
1746,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,garlic,One example of a food is ___.,-11.625,-11.625
1747,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gingerbread man,One example of a food is ___.,-18.390625,-6.130208333333333
1748,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,goat,One example of a food is ___.,-15.1875,-15.1875
1749,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,grain,One example of a food is ___.,-12.875,-12.875
1750,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,granola,One example of a food is ___.,-12.5205078125,-6.26025390625
1751,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,grapefruit,One example of a food is ___.,-14.15625,-7.078125
1752,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gravy,One example of a food is ___.,-12.6875,-12.6875
1753,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,green beans,One example of a food is ___.,-12.7578125,-6.37890625
1754,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,grits,One example of a food is ___.,-14.84423828125,-7.422119140625
1755,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,guacamole,One example of a food is ___.,-13.044189453125,-4.348063151041667
1756,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gum,One example of a food is ___.,-14.25,-14.25
1757,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gumball,One example of a food is ___.,-17.2890625,-5.763020833333333
1758,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gumdrop,One example of a food is ___.,-18.96875,-9.484375
1759,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,gyro,One example of a food is ___.,-17.25,-17.25
1760,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,ham,One example of a food is ___.,-13.4375,-13.4375
1761,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,hamburger,One example of a food is ___.,-12.3125,-12.3125
1762,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,hash,One example of a food is ___.,-12.8125,-12.8125
1763,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,honey,One example of a food is ___.,-11.8125,-11.8125
1764,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,hotdog,One example of a food is ___.,-16.03125,-8.015625
1765,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,hummus,One example of a food is ___.,-13.865234375,-6.9326171875
1766,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,ice cream,One example of a food is ___.,-11.5068359375,-5.75341796875
1767,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,ice-cream cone,One example of a food is ___.,-21.08056640625,-5.2701416015625
1768,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,jalapeno,One example of a food is ___.,-14.119140625,-4.706380208333333
1769,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,jam,One example of a food is ___.,-12.6875,-12.6875
1770,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,jelly bean,One example of a food is ___.,-15.28125,-7.640625
1771,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,kale,One example of a food is ___.,-13.875,-13.875
1772,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,kebab,One example of a food is ___.,-15.21875,-7.609375
1773,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,ketchup,One example of a food is ___.,-12.1953125,-6.09765625
1774,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,kiwi,One example of a food is ___.,-15.85546875,-7.927734375
1775,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lamb,One example of a food is ___.,-14.9375,-14.9375
1776,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lamb chop,One example of a food is ___.,-19.15625,-9.578125
1777,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lasagna,One example of a food is ___.,-13.8419189453125,-6.92095947265625
1778,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,leek,One example of a food is ___.,-14.703125,-7.3515625
1779,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lettuce,One example of a food is ___.,-12.0,-12.0
1780,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,licorice,One example of a food is ___.,-14.771484375,-4.923828125
1781,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lime,One example of a food is ___.,-12.5625,-12.5625
1782,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lobster,One example of a food is ___.,-14.875,-14.875
1783,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,lollipop,One example of a food is ___.,-16.25,-8.125
1784,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,macadamia,One example of a food is ___.,-17.50628662109375,-5.835428873697917
1785,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,macaroni,One example of a food is ___.,-12.96478271484375,-4.32159423828125
1786,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,maple syrup,One example of a food is ___.,-12.8525390625,-6.42626953125
1787,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,marmalade,One example of a food is ___.,-16.63568115234375,-4.1589202880859375
1788,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,marshmallow,One example of a food is ___.,-16.234375,-8.1171875
1789,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mashed potato,One example of a food is ___.,-16.171875,-8.0859375
1790,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,meat,One example of a food is ___.,-9.625,-9.625
1791,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,meatball,One example of a food is ___.,-15.125,-7.5625
1792,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,meatloaf,One example of a food is ___.,-12.253524780273438,-4.0845082600911455
1793,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mint,One example of a food is ___.,-14.3125,-14.3125
1794,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mousse,One example of a food is ___.,-17.0,-8.5
1795,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,muffin,One example of a food is ___.,-13.1787109375,-6.58935546875
1796,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mulberry,One example of a food is ___.,-16.5,-8.25
1797,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mushroom,One example of a food is ___.,-12.9375,-12.9375
1798,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mussel,One example of a food is ___.,-14.97216796875,-7.486083984375
1799,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,mustard,One example of a food is ___.,-12.5,-12.5
1800,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,nacho,One example of a food is ___.,-15.21875,-7.609375
1801,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,noodle,One example of a food is ___.,-15.90234375,-7.951171875
1802,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,nut,One example of a food is ___.,-12.0,-12.0
1803,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,oatmeal,One example of a food is ___.,-12.4609375,-6.23046875
1804,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,octopus,One example of a food is ___.,-14.41015625,-7.205078125
1805,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,okra,One example of a food is ___.,-14.015625,-7.0078125
1806,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,omelet,One example of a food is ___.,-16.578125,-5.526041666666667
1807,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,orange,One example of a food is ___.,-11.0625,-11.0625
1808,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,oyster,One example of a food is ___.,-13.609375,-6.8046875
1809,meta-llama/Llama-3.1-8B-Instruct,food,en,generic,pancake,One example of a food is ___.,-14.7742919921875,-7.38714599609375
